@relation training

@attribute feat_1 numeric
@attribute feat_2 numeric
@attribute class {class_1,class_2,class_3}

@data
-1.953535,3.349286,class_1
-2.144171,3.653575,class_1
2.963915,1.076392,class_2
3.318969,1.23437,class_2
2.873001,1.041529,class_2
3.436617,0.724384,class_2
3.044257,1.012455,class_2
4.182358,0.672242,class_2
-3.682265,0.160297,class_1
-4.309975,0.109938,class_1
-3.571031,0.120092,class_1
-3.512331,0.110713,class_1
-3.099433,0.082654,class_1
-2.906499,0.077306,class_1
-1.318507,1.280109,class_1
-1.661613,1.231472,class_1
-1.59977,1.17359,class_1
-0.592588,0.532997,class_1
-0.121654,0.815341,class_1
-2.055912,0.943437,class_1
7.890226,1.801337,class_3
9.433971,2.873638,class_3
9.380277,2.759654,class_3
9.255706,2.867255,class_3
8.613781,2.484653,class_3
8.533979,2.447182,class_3
8.686573,2.631798,class_3
8.611298,2.683797,class_3
8.787984,2.600366,class_3
8.520876,2.620872,class_3
8.063429,1.98789,class_3
7.488081,2.19616,class_3
8.369921,2.07081,class_3
5.109301,0.952842,class_3
5.802366,0.932343,class_3
7.036772,1.326418,class_3
7.124046,1.190193,class_3
2.869769,0.102827,class_3
3.216532,0.103321,class_3
3.096805,0.108878,class_3
3.301637,0.111013,class_3
3.30995,0.10912,class_3
3.867704,0.119048,class_3
-3.181067,0.23964,class_1
-3.403557,0.243977,class_1
-2.728029,0.273133,class_1
-2.462257,0.262212,class_1
-1.645005,0.163099,class_1
-2.693061,0.231909,class_1
-3.552929,3.486746,class_1
-3.541722,3.588654,class_1
-3.728576,3.143357,class_1
-3.588063,3.059868,class_1
-3.270298,2.971247,class_1
-3.446525,2.987544,class_1
1.893548,0.086551,class_1
1.676129,0.098184,class_1
1.122853,0.077042,class_1
0.930622,0.086103,class_1
0.960922,0.079816,class_1
-1.009393,2.914936,class_1
-1.835066,2.992765,class_1
-2.243173,2.862674,class_1
-1.929585,3.019195,class_1
-1.589179,2.929736,class_1
-1.577331,3.413082,class_1
-0.219905,0.280977,class_2
1.361247,0.754341,class_2
2.46517,0.872304,class_2
1.834116,0.799331,class_2
1.731245,0.782604,class_2
2.347185,0.910054,class_2
-3.793021,0.134804,class_1
-3.685005,0.082099,class_1
-2.309852,0.151302,class_1
-3.039342,0.116754,class_1
-3.115651,0.08568,class_1
-2.175101,0.077636,class_1
-0.1968,1.096689,class_1
-0.205551,1.244841,class_1
-1.401204,1.055208,class_1
-1.657974,1.040899,class_1
-1.41697,1.143041,class_1
0.731503,1.052695,class_1
7.851673,1.017694,class_3
7.656962,1.266554,class_3
7.68943,1.155036,class_3
7.596647,1.162554,class_3
7.623068,1.117519,class_3
8.023439,1.624526,class_3
8.226576,2.497199,class_3
8.149013,2.55257,class_3
8.167848,2.797625,class_3
8.176208,2.803535,class_3
8.215632,3.087807,class_3
8.230569,3.009612,class_3
7.6562,1.377506,class_3
7.592047,1.353062,class_3
7.440574,1.196364,class_3
7.340017,1.168223,class_3
